source_id,weight,panel_id,period_start,period_end,selection,study_id,corpus_id,data_version,method_version,indicator_version,validation_status
dalmacijanews.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
dalmatinskiportal.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
danica.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
direktno.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
dnevnik.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
dubrovnikinsider.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
dubrovnikportal.com,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
dulist.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
ebrod.net,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
epodravina.hr,0.0078125,S0_2021_01_2026_08,2021-01,2026-08,background publication observed in every full month,hnb-media,HNB_MEDIA,2026-09-21.1,1.0,HNB_MEDIA_INDICATORS_1.0,descriptive_archive_counts_not_independently_validated
