source_id,source_label,source_role,medium,croatian_eligibility,language,ownership,register_id,evidence_url,checked
domoljubni.hr,domoljubni.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,10/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=51,2026-09-21
domoljubniradio.hr,domoljubniradio.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,38/19,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=28,2026-09-21
domovinskirat.hr,domovinskirat.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,26/23,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=48,2026-09-21
drava-info.hr,drava-info.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,60/15,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=12,2026-09-21
du-sportivo.hr,du-sportivo.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,38/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=54,2026-09-21
dubrovacki.slobodnadalmacija.hr,dubrovacki.slobodnadalmacija.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,15/14,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=6,2026-09-21
dubrovackidnevnik.hr,dubrovackidnevnik.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,57/14,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=8,2026-09-21
dubrovnikinsider.hr,dubrovnikinsider.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,60/17,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=19,2026-09-21
dubrovniknet.hr,dubrovniknet.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,29/16,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=14,2026-09-21
dubrovnikportal.com,dubrovnikportal.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,65/16,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=16,2026-09-21
dubrovnikpress.hr,dubrovnikpress.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,57/11,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=3,2026-09-21
dugopolje.org,dugopolje.org,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,14/18,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=21,2026-09-21
dugoselo.info,dugoselo.info,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,33/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=41,2026-09-21
dulist.hr,dulist.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,7/13,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=4,2026-09-21
ebrod.net,ebrod.net,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,29/19,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=27,2026-09-21
egradnja.hr,egradnja.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,33/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=53,2026-09-21
eivanec.com,eivanec.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,14/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=39,2026-09-21
ekovjesnik.hr,ekovjesnik.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,57/17,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=19,2026-09-21
emedjimurje.net.hr,emedjimurje.net.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,56/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=38,2026-09-21
energetika-net.com,energetika-net.com,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,7/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=34,2026-09-21
epodravina.hr,epodravina.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,64/14,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=8,2026-09-21
epoha.com.hr,epoha.com.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,11/20,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=29,2026-09-21
euprojekti.hr,euprojekti.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,65/22,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=44,2026-09-21
euractiv.hr,euractiv.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,52/18,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=24,2026-09-21
evarazdin.hr,evarazdin.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,35/21,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=36,2026-09-21
evoprice.net,evoprice.net,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,04/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=50,2026-09-21
express.hr,express.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,25/15,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=10,2026-09-21
ezadar.net.hr,ezadar.net.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,12/11,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=1,2026-09-21
faktograf.hr,faktograf.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,42/18,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=24,2026-09-21
feral1.news,feral1.news,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,12/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=51,2026-09-21
ferata.hr,ferata.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,08/12,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=3,2026-09-21
fightsite.hr,fightsite.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,14/19,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=26,2026-09-21
filmovi.hr,filmovi.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,25/14,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=6,2026-09-21
fiuman.hr,fiuman.hr,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,39/18,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=23,2026-09-21
foodfacts.news,foodfacts.news,other_own,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,23/24,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=52,2026-09-21
forum.tm,forum.tm,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,13/14,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=5,2026-09-21
frendica.online,frendica.online,editorial,web,current_AEM_register,not_restricted; vendor_metadata_only,not_independently_audited,30/23,https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=48,2026-09-21
